file_name,category,context,constraint,caption_0,explanation_0,question_0,answer_0,caption_1,explanation_1,question_1,answer_1,caption_2,explanation_2,question_2,answer_2,caption_3,explanation_3,question_3,answer_3,caption_4,explanation_4,question_4,answer_4
a-f-1-1.png,Fable,The Tortoise and the Hare,"{""Animal A"":""Tortoise"",""Animal B"":""Hare"",""Animal A's movement"":""sleep"",""Animal B's movement"":""sleep""}",A turtle and a rabbit are lying asleep on a small path in the forest.,"This image does not conform to the story of the tortoise and the hare, because in the original story, the rabbit is sleeping while the tortoise is crawling, whereas in the image, both the tortoise and the rabbit are sleeping.",Who are lying asleep on a small path in the forest?,A turtle and a rabbit,A tortoise and a rabbit are sleeping on a forest track.,"This picture does not match the story of the tortoise and the hare racing. Because in the original story, the tortoise was racing hard while the hare was sleeping. In this picture, both the tortoise and the hare are sleeping.",Where are the turtle and rabbit lying asleep?,on a small path in the forest,A rabbit and turtle sleep together in a peaceful forest.,"This illustration departs from the classic fable of the tortoise and the hare, as it shows both animals snoozing, whereas in the original tale, the hare is asleep and the tortoise is steadily progressing.",Who are sleeping on a forest track?,A tortoise and a rabbit,"A tranquil scene unfolded in the forest, as a turtle and rabbit slumbered peacefully on a secluded path, their slumber undisturbed.","The image diverges from the classic tale of the tortoise and the hare, which depicts the hare napping while the tortoise steadily progresses, in contrast to the image where both the tortoise and the hare are asleep.",Where are the tortoise and the rabbit sleeping?,on a forest track,A turtle and a rabbit lie peacefully asleep on a forest path.,"The image deviates from the tale of the tortoise and the hare, as the classic story shows the hare napping while the tortoise steadily progresses, but the image depicts both the tortoise and the hare asleep.",Who sleeps together in a peaceful forest?,A rabbit and turtle
a-f-1-2.webp,Fable,The Tortoise and the Hare,"{""Animal A"":""Tortoise"",""Animal B"":""Cat"",""Animal A's movement"":""move"",""Animal B's movement"":""move""}",A turtle is crawling through the woods with a cat chasing it from behind.,"This image does not align with the story of the tortoise and the hare, because the original story features a tortoise and a rabbit, whereas this image shows a cat instead.",What is happening with the turtle?,A turtle is crawling through the woods.,A cat and a turtle are running in the forest.,"The content of this picture does not match the story of the tortoise and the hare, because in the original story, there was a tortoise and a rabbit, and the tortoise was running while the rabbit was sleeping. However, in this picture, there is a tortoise and a rabbit, and both the tortoise and the rabbit are running.",What is happening with the cat?,A cat is chasing the turtle from behind.,A grey tabby cat chases a green turtle through a sunlit forest path.,"The depiction here diverges from the traditional tortoise and hare narrative, as it features a cat instead of the expected rabbit.",What animals are running in the forest?,A cat and a turtle,"A turtle scuttled through the woods, pursued relentlessly by a curious cat, their chase a lively spectacle amidst the tranquility.","The image departs from the original story of the tortoise and the hare, which focuses on a tortoise and a hare, unlike the image that features a cat.",Where are the cat and the turtle?,running in the forest,"A turtle navigates through the woods, pursued by a cat from behind.","The image does not reflect the original story of the tortoise and the hare, which centers on a tortoise and a hare, unlike the image that features a cat.",What type of animal is chasing a green turtle through a sunlit forest path?,A grey tabby cat
a-f-1-3.webp,Fable,The Tortoise and the Hare,"{""Animal A"":""Squirrel"",""Animal B"":""Hare"",""Animal A's movement"":""sleep"",""Animal B's movement"":""sleep""}",A rabbit and a squirrel are sleeping in the woods.,"This image does not correspond to the story of the tortoise and the hare, because the original story depicts a race between a rabbit and a tortoise, with the rabbit falling asleep during the race, whereas the animals in the picture are a rabbit and a squirrel, both of whom are asleep.",What animals are sleeping in the woods?,Rabbit and squirrel,A rabbit and a squirrel are sleeping on the ground in the jungle.,"The content of this picture does not match the story of the tortoise and the hare, because in the original story, there was a tortoise and a rabbit, and the tortoise was running while the rabbit was sleeping. However, in this picture, there is a squirrel and a rabbit, both of whom are sleeping.",What activity are the rabbit and squirrel engaged in?,Sleeping,A squirrel and a rabbit peacefully napping on a leaf-strewn path amidst a verdant forest.,"This image deviates from the original tortoise and hare story, as it shows a rabbit and a squirrel both asleep, rather than the expected race where the rabbit dozes off.",Where are the rabbit and squirrel sleeping?,Woods,"In the heart of the woods, a rabbit and squirrel rested peacefully, their slumber a testament to the forest's calming embrace.","The image deviates from the original narrative of the tortoise and the hare, which tells of a race where the hare falls asleep, yet the image presents a sleeping rabbit and a squirrel.",What animals are sleeping on the ground in the jungle?,A rabbit and a squirrel,A rabbit and a squirrel rest together in the woods.,"The image departs from the original narrative of the tortoise and the hare, which tells of a race where the hare falls asleep, yet the image presents a sleeping rabbit and a squirrel.",Where are the rabbit and the squirrel sleeping?,on the ground
a-f-1-4.webp,Fable,The Tortoise and the Hare,"{""Animal A"":""Snail"",""Animal B"":""Hare"",""Animal A's movement"":""move"",""Animal B's movement"":""sleep""}","A snail is crawling on a path in the woods, looking over at a rabbit lying asleep on the ground nearby.","This image does not match the story of the tortoise and the hare, because the original story features a tortoise and a rabbit, whereas the image shows a snail and a rabbit.",What creature is crawling on a path in the woods?,A snail,"A rabbit is sleeping on the ground, with a snail crawling slowly beside it.","The content of this picture does not match the story of the tortoise and the hare, because in the original story, there was a tortoise and a rabbit, and the tortoise was running while the rabbit was sleeping. However, in this picture, there is a snail and a rabbit, with the snail moving forward while the rabbit is sleeping.",What is a snail doing?,crawling on a path in the woods,A snail crawls slowly beside a sleeping rabbit in a tranquil forest.,"The scene in this picture does not align with the tortoise and hare fable, as it shows a snail and a rabbit, not the traditional pair.",What is the snail observing?,looking over at a rabbit lying asleep on the ground nearby,"A snail crept along a forest path, its gaze momentarily resting on a slumbering rabbit nearby, a serene moment in the wilderness.","The image does not align with the original story of the tortoise and the hare, which features a tortoise and a hare, but the image shows a snail and a rabbit.",What creature is near the snail?,a rabbit lying asleep on the ground nearby,"A snail crawls along a path, glancing at a nearby rabbit sound asleep on the ground.","The image does not correspond with the original story of the tortoise and the hare, which features a tortoise and a hare, but the image shows a snail and a rabbit.",What animal is sleeping on the ground?,A rabbit
a-f-1-5.webp,Fable,The Tortoise and the Hare,"{""Animal A"":""Snail"",""Animal B"":""Hare"",""Animal A's movement"":""move"",""Animal B's movement"":""move""}","A rabbit is running in the forest, and beside it, a snail is crawling slowly.","This image does not match the story of ""The Tortoise and the Hare"" because the original story features a rabbit and a tortoise, while the image depicts a rabbit and a snail. Additionally, the rabbit in the image is running hard, which is inconsistent with the original story where the rabbit fell asleep during the race.",What animal is running in the forest?,A rabbit,"A snail is crawling in the jungle, and a rabbit is running beside it.","The content of this picture does not match the story of the tortoise and the hare, because in the original story, there was a tortoise and a rabbit, and the tortoise was running while the rabbit was sleeping. However, in this picture, there is a snail and a rabbit, both of which are running.",What animal is crawling slowly beside the rabbit?,A snail,A rabbit is running while a snail is crawling in the forest.,"This artwork departs from the original ""The Tortoise and the Hare"" story, as it depicts a rabbit and a snail, and the rabbit is actively running, which contradicts the original tale where the rabbit falls asleep.",What is the snail doing in the jungle?,A snail is crawling in the jungle.,"A rabbit darted through the forest, its speed a blur against the slower pace of a nearby snail, both creatures occupying their unique niche in the ecosystem.","The image contradicts the original story of ""The Tortoise and the Hare,"" where the hare dozes off during the race, but the image shows a rabbit sprinting, which is at odds with the tale.",What is happening beside the snail?,A rabbit is running beside the snail.,"A rabbit dashes through the forest, with a snail slowly moving beside it.","The image is inconsistent with the original story of ""The Tortoise and the Hare,"" where the hare dozes off during the race, but the image shows a rabbit sprinting, which contradicts the tale.",What is the rabbit doing in the forest?,A rabbit is running
a-f-1-6,Fable,The Tortoise and the Hare,,,,,,,,,,,,,,,,,,,,,
a-f-1-7,Fable,The Tortoise and the Hare,,,,,,,,,,,,,,,,,,,,,
a-t-1-1.png,Fable,The Tortoise and the Hare,"{""Animal A"":""Tortoise"",""Animal B"":""Hare"",""Animal A 's movement"":""move"",""Animal B 's movement"":""sleep""}","In the forest, on two separate tracks, there is a turtle and a rabbit. The turtle is crawling forward, while the rabbit is lying down sleeping.",,What animal is crawling forward in the forest?,turtle,"A tortoise and a rabbit are competing, but the tortoise is crawling while the rabbit is sleeping.",,What animal is lying down sleeping in the forest?,rabbit,"In the forest, a tortoise slowly crawls on a path while a rabbit lies contentedly asleep on the same trail.",,Who are competing?,A tortoise and a rabbit,"In the forest, there is a tortoise and a rabbit on two different tracks.The turtle is crawling forward while the rabbit lies down to sleep.",,How is the tortoise moving?,crawling,There is a rabbit and a turtle on two seperated tracks side by side in a forest.The turtle is crawling while the rabbit is sleeping.,,What is the rabbit doing?,sleeping
a-t-1-2.webp,Fable,The Tortoise and the Hare,"{""Animal A"":""Tortoise"",""Animal B"":""Hare"",""Animal A 's movement"":""move"",""Animal B 's movement"":""sleep""}",A turtle and a rabbit are having a race in the forest; the turtle is moving forward on the track while the rabbit is sleeping nearby.,,Who are having a race in the forest?,A turtle and a rabbit,"The turtle is exercising on the track, and the rabbit is resting on the track.",,How is the turtle progressing?,moving forward on the track,"In the serene forest, a rabbit is seen resting peacefully on the ground while a turtle slowly crawls forward on a path surrounded by vibrant flora.",,What is the rabbit doing?,sleeping nearby,"In the forest ,a tortoise and a rabbit are racing.The turtle moves forward on the track, and the rabbit sleeps beside it.",,Who is exercising on the track?,The turtle,The turtle is jogging along the track while the rabbit is lounging on the side.,,Who is resting on the track?,The rabbit
a-t-1-3.webp,Fable,The Tortoise and the Hare,"{""Animal A"":""Tortoise"",""Animal B"":""Hare"",""Animal A 's movement"":""move"",""Animal B 's movement"":""sleep""}","A turtle is crawling energetically on a track in the forest, while a rabbit sleeps on the lawn nearby.",,What is crawling energetically on a track in the forest?,A turtle,"A turtle is crawling in the forest, while a rabbit is sleeping on the grass next to it.",,What animal is sleeping on the lawn nearby?,A rabbit,"In the serene forest, a rabbit is seen resting peacefully on the grass while a tortoise continues its slow yet steady exercise routine on the track.",,What is happening with the turtle in the forest?,A turtle is crawling in the forest,"A turtle is crawling  along a path in the forest, and the rabbit was sleeping on a nearby lawn.",,What is the rabbit doing next to the turtle?,A rabbit is sleeping on the grass,"The turtle is running laps on the track, and the rabbit is taking a break nearby.",,What animal is seen resting peacefully on the grass in the serene forest?,a rabbit
a-t-1-4.webp,Fable,The Tortoise and the Hare,"{""Animal A"":""Tortoise"",""Animal B"":""Hare"",""Animal A 's movement"":""move"",""Animal B 's movement"":""sleep""}","On a track in the forest, a turtle is crawling forward, while a rabbit lies prone on the grass, sleeping.",,Where is the scene taking place?,On a track in the forest,"The tortoise is trying to crawl, and the rabbit is sleeping soundly on the grass next to it.",,What is the turtle doing?,a turtle is crawling forward,"In the forest, a turtle moves slowly past a sleeping rabbit.",,What is the rabbit doing?,"a rabbit lies prone on the grass, sleeping","On a path in the forest, there are a turtle crawling forward and a rabbit  sleeping on the grass.",,What is the tortoise doing?,The tortoise is trying to crawl,"The turtle is doing its circuit on the track, with the rabbit relaxing close by.",,What scene unfolds in the forest?,a turtle moves slowly past a sleeping rabbit
a-t-1-5.webp,Fable,The Tortoise and the Hare,"{""Animal A"":""Tortoise"",""Animal B"":""Hare"",""Animal A 's movement"":""move"",""Animal B 's movement"":""sleep""}","The turtle is crawling forward on the track in the forest, with a rabbit lying asleep on the grass beside it.",,What animal is crawling forward on the track?,turtle,"A tortoise is struggling to crawl, while a rabbit is sleeping on the grass next to it.",,What animal is lying asleep on the grass beside the track?,rabbit,"On a lush green track, a tortoise is seen slowly crawling while to its side, a rabbit lies contentedly asleep.",,What is happening to the tortoise?,A tortoise is struggling to crawl.,"The tortoise is exerting effort to move forward, while the rabbit is peacefully resting on the grass beside it.",,What is the rabbit doing?,A rabbit is sleeping on the grass next to it.,"The turtle is moving steadily around the track, while the rabbit is in a state of relaxation not far off.",,What is slowly crawling on the lush green track?,a tortoise
a-t-1-6,Fable,The Tortoise and the Hare,"{""Animal A"":""Tortoise"",""Animal B"":""Hare"",""Animal A 's movement"":""move"",""Animal B 's movement"":""sleep""}",,,,,,,,,,,,,,,,,,,,
a-t-1-7,Fable,The Tortoise and the Hare,"{""Animal A"":""Tortoise"",""Animal B"":""Hare"",""Animal A 's movement"":""move"",""Animal B 's movement"":""sleep""}",,,,,,,,,,,,,,,,,,,,
a-f-2-1.webp,Fable,The Crow and the Pitcher,"{""Type of the bird"":""mallard"",""With or without a cork"":""without"",""With water"":""without"",""With or without stones"":""with""}","A mallard duck is standing next to a glass, which contains some stones.","This image does not match the story of ""The Crow Drinks Water,"" because the main character in the original story is a crow, not a mallard duck, and the water bottle in the story is filled with water.",What type of bird is standing next to the glass?,mallard duck,A mallard put a lot of stones into a glass. There is no water in the glass.,"The content of this picture does not match the story of the crow drinking water. In the story of the crow drinking water, there is a bottle filled with water, and the crow throws stones into the bottle, causing the water surface to rise and drink water. However, in this picture, a mallard throws stones into a glass bottle, but there is no water in the bottle.",What object contains some stones next to the mallard duck?,glass,A toy duck stands beside a glass containing variously colored and shaped stones.,"This image does not match the ""The Crow Drinks Water"" story, as the protagonist is a mallard duck, not a crow, and the bottle is empty.",What is inside the glass next to the mallard duck?,stones,"A mallard duck stood sentinel next to a glass vessel, its contents a mystery of stones, the duck's presence a curious juxtaposition.","The image does not correspond with the original story of ""The Crow Drinks Water,"" which features a crow and a water bottle filled with water, unlike the image with a mallard duck and an empty bottle.",What put a lot of stones into a glass?,A mallard,A mallard duck stands beside a glass containing stones.,"The image does not match the original story of ""The Crow Drinks Water,"" which features a crow and a water bottle filled with water, unlike the image with a mallard duck and an empty bottle.",What did a mallard put into a glass?,Stones
a-f-2-2.webp,Fable,The Crow and the Pitcher,"{""Type of the bird"":""white goose"",""With or without a cork"":""with"",""With water"":""with"",""With or without stones"":""with""}","A swan is standing next to a glass filled with water and stones, with the mouth of the glass plugged with a stopper.","This image does not correspond to the story of ""The Crow Drinks Water,"" because the main character in the original story is a crow, not a swan, and the water bottle in the story does not have a stopper.",What is standing next to a glass filled with water and stones?,A swan,"A goose looks at a glass bottle. There is water and stones in the glass bottle. The stones sink to the bottom of the glass bottle, and oak corks are stuffed on top of the glass bottle.","The content of this picture does not match the story of the crow drinking water. In the story of the crow drinking water, there is a bottle filled with water. The crow throws stones into the bottle, causing the water surface to rise and drink water. However, in this picture, there is no crow, only a swan. The glass bottle contains water and stones, but the glass bottle has a lid, which is not present in the original story.",What is the swan standing next to?,A glass filled with water and stones,"A swan is standing next to a glass bottle sealed with a stopper, which contains water and stones inside.","The scene here differs from the ""The Crow Drinks Water"" story, as the protagonist is a swan, not a crow, and the bottle lacks a stopper.",What is plugging the mouth of the glass?,A stopper,"A swan, elegant and serene, stood guard next to a glass filled with water and stones, the stopper at its mouth a symbol of containment.","The image does not align with the original story of ""The Crow Drinks Water,"" which centers on a crow and a water bottle without a stopper, unlike the image with a swan and a bottle with a stopper.",What is looking at a glass bottle?,A goose,"A swan stands next to a glass filled with water and stones, its mouth sealed with a stopper.","The image does not align with the original story of ""The Crow Drinks Water,"" which centers on a crow and a water bottle without a stopper, unlike the image with a swan and a bottle with a stopper.",What is the object being looked at by the goose?,Glass bottle
a-f-2-3.webp,Fable,The Crow and the Pitcher,"{""Type of the bird"":""sparrow"",""With or without a cork"":""without"",""With water"":""without"",""With or without stones"":""without""}",A sparrow is standing next to an empty glass.,"This image does not align with the story of ""The Crow Drinks Water,"" because the main character in the original story is a crow, not a sparrow, and the water bottle is filled with water and small stones.",What is standing next to an empty glass?,A sparrow,"A sparrow looked at a glass, but there was nothing in it.","The content of this picture does not match the story of the crow drinking water. In the story of the crow drinking water, there is a bottle filled with water. The crow throws stones into the bottle, causing the water surface to rise and drink water. However, in this picture, there is no crow, only a sparrow. The glass bottle has no lid, but there is no water or stones in it.",Next to what is a sparrow standing?,an empty glass,A sparrow is standing next to an empty glass on a gradient white background.,"This picture does not correspond with the ""The Crow Drinks Water"" story, as the protagonist is a sparrow, not a crow, and the bottle is filled with water and stones.",What looked at a glass?,A sparrow,"A sparrow perched next to an empty glass, its gaze perhaps searching for the missing contents, a simple yet intriguing scene.","The image does not correspond with the original story of ""The Crow Drinks Water,"" which involves a crow and a bottle with water and stones, unlike the image with a sparrow and an empty bottle.",What was in the glass?,nothing,A sparrow stands near an empty glass.,"The image does not correspond with the original story of ""The Crow Drinks Water,"" which involves a crow and a bottle with water and stones, unlike the image with a sparrow and an empty bottle.",What is standing next to an empty glass on a gradient white background?,A sparrow
a-f-2-4.webp,Fable,The Crow and the Pitcher,"{""Type of the bird"":""crow"",""With or without a cork"":""without"",""With water"":""with"",""With or without stones"":""without""}",A crow is standing next to a glass filled with pebbles.,"This image does not match the story of ""The Crow Drinks Water,"" as the water bottle in the image is empty.",What animal is standing next to a glass filled with pebbles?,A crow,A crow is looking at a glass with only a lot of stones inside.,"The content of this picture does not match the story of the crow drinking water. In the story of the crow drinking water, there is a bottle filled with water. The crow throws stones into the bottle, causing the water surface to rise and drink water. However, in this picture, there is a crow in a glass bottle without a lid, which contains stones but no water.",What is the glass next to the crow filled with?,pebbles,A crow is standing beside a glass that is partially filled with pebbles.,"The illustration here is inconsistent with the ""The Crow Drinks Water"" story, as the bottle is empty.",Who or what is looking at the glass?,A crow,"A crow, its beak sharp and its gaze piercing, stood guard next to a glass filled with pebbles, a sentinel of the natural world.","The image does not match the original story of ""The Crow Drinks Water,"" as the water bottle in the image is empty, whereas the story features a bottle filled with water.",What is the crow looking at?,a glass with only a lot of stones inside,A crow stands beside a glass filled with pebbles.,"The image does not match the original story of ""The Crow Drinks Water,"" as the water bottle in the image is empty, whereas the story features a bottle filled with water.",What is standing beside the glass?,A crow
